Ticker,F1_Score,MDD_Mercado_%,MDD_Agente_%,Riesgo_Reducido
LIT,0.7667,0.0,0.0,No
LMBS,0.5,-0.16,-0.1,Sí
LQDH,0.5,-0.59,-0.3,Sí
LQDI,0.0,-1.29,-1.29,Sí
LSST,0.5,-0.33,-0.33,Sí
LTPZ,0.3333,-2.16,0.0,Sí
LVHI,0.3,-0.39,-0.39,Sí
MAGA,0.5,-0.68,0.0,Sí
MBB,0.3,-1.14,-1.14,No
MDYV,0.5,-0.76,0.0,Sí
MFDX,0.3,-0.39,-0.39,No
MFEM,0.0,0.0,0.0,No
MFUS,0.5,-0.73,0.0,Sí
MGC,0.7333,-0.49,0.0,Sí
MGK,0.5,-1.12,-0.37,Sí
MGV,1.0,-0.65,0.0,Sí
MLPX,0.3,-3.39,-3.39,Sí
MMIN,0.3,-0.6,-0.6,Sí
MMIT,0.3,-0.48,-0.48,Sí
MOAT,0.1,-0.29,0.0,Sí
MOTG,0.5,-0.46,-0.37,Sí
MUST,0.5,-0.48,0.0,Sí
NACP,0.5,-0.69,-0.33,Sí
NANR,0.2,-0.87,-0.87,No
NEAR,0.0,-0.04,-0.04,No
NOBL,0.7667,-0.24,0.0,Sí
NUDM,0.3,-0.92,-0.92,No
NUEM,0.3,-0.11,-0.11,No
NULG,0.2,-0.37,-0.37,Sí
NUMG,0.5,-0.05,0.0,Sí
NURE,0.6667,0.0,0.0,No
NUSC,0.7667,-0.41,0.0,Sí
NYF,0.3,-0.54,-0.54,Sí
OEF,1.0,-0.72,0.0,Sí
OMFL,0.3,-0.21,-0.21,Sí
OMFS,0.7667,-0.53,0.0,Sí
ONEQ,0.7333,-0.5,-0.42,Sí
ONEV,0.7667,-0.3,0.0,Sí
ONEY,0.7667,-0.64,0.0,Sí
OPER,0.3,0.0,0.0,No
OUSA,0.0,-0.42,-0.42,No
PAVE,0.6667,0.0,0.0,No
PBUS,0.5,-0.39,-0.1,Sí
PDBC,0.3,-1.47,-0.42,Sí
PEXL,0.5,-0.73,-0.23,Sí
PEY,0.0,-0.86,-0.86,No
PFF,0.5,-1.05,-1.05,Sí
PFFA,0.5,-1.18,-1.01,Sí
PFXF,0.1,-0.82,0.0,Sí
PHDG,0.3,-0.29,-0.29,No
PHO,0.5,-0.53,-0.53,Sí
PHYL,0.3,-0.39,-0.39,No
PICK,0.3,0.0,0.0,No
PID,0.1,-0.67,0.0,Sí
PIE,0.1,-0.32,0.0,Sí
PKW,0.7667,-0.3,0.0,Sí
PLW,0.3,-1.56,-1.56,Sí
PPA,0.3,-1.19,-1.11,Sí
PRF,0.7667,-0.58,0.0,Sí
PRFZ,0.0,-0.46,-0.46,No
PSC,0.3,-0.77,-0.77,Sí
PSCC,0.5,-2.15,-1.5,Sí
PSCH,0.5,-1.37,0.0,Sí
PSCI,0.0,-0.08,-0.08,No
PSCM,0.7333,-0.72,0.0,Sí
PSET,0.5,-0.71,-0.15,Sí
PSI,0.5,-2.41,-0.75,Sí
PSMC,0.7667,-0.47,0.0,Sí
PSMG,0.5,-0.16,-0.08,Sí
PSMM,0.7333,-0.44,-0.44,Sí
PSR,0.7667,-0.14,0.0,Sí
PTF,0.7333,-0.59,0.0,Sí
PTH,0.6667,0.0,0.0,No
PTNQ,0.5,-0.24,-0.06,Sí
PULS,0.3,-0.11,-0.11,No
PWS,0.7667,-0.0,0.0,Sí
PXE,0.5,-4.84,-4.84,No
PXF,0.0,-0.34,-0.34,Sí
PY,0.5,-0.58,0.0,Sí
PZT,0.7667,-0.9,-0.69,Sí
QARP,0.5,-0.37,0.0,Sí
QDIV,0.7667,-0.91,0.0,Sí
QDYN,0.5,-0.6,0.0,Sí
QEFA,0.2,-0.76,-0.76,No
QGRO,0.4,0.0,0.0,No
QINT,0.0,-0.39,-0.39,No
QLD,0.3333,-2.22,-2.22,Sí
QMOM,0.2,-2.21,-2.21,No
QQEW,0.3,-0.2,-0.2,No
QQQ,0.3333,-1.14,-1.14,No
QQQE,0.1,-0.11,0.0,Sí
QTEC,0.5,-0.31,0.0,Sí
QTUM,0.7333,-1.35,-0.6,Sí
QWLD,0.5,-0.25,-0.21,Sí
RDVY,0.5,-0.18,-0.18,No
REMX,0.6667,0.0,0.0,No
REZ,0.3,0.0,0.0,No
RFDA,0.2,-0.48,-0.48,No
RFV,0.1,-0.79,0.0,Sí
RGI,0.4,0.0,0.0,No
RHS,0.2,-0.95,-0.92,Sí
RIGS,0.0,-0.34,-0.34,Sí
